負荷条件,U（原データ）,負荷電圧_V,負荷抵抗_ohm,電流_mA,発電出力_mW
10ohm,2.2,0.059,10,5.9,0.3481
10ohm,3.2,0.119,10,11.9,1.4161
10ohm,4.4,0.192,10,19.2,3.6864
10ohm,5.5,0.288,10,28.8,8.2944
10ohm,6.8,0.365,10,36.5,13.3225
10ohm,8.5,0.478,10,47.8,22.8484
10ohm,10.5,0.612,10,61.2,37.4544
1kohm,1.7,1.42,1000,1.42,2.0164
1kohm,1.9,2.27,1000,2.27,5.1529
1kohm,2.7,4.1,1000,4.1,16.81
1kohm,3.6,6.27,1000,6.27,39.3129
1kohm,4.8,8.58,1000,8.58,73.6164
1kohm,6.4,11.61,1000,11.61,134.7921
1kohm,8.2,14.7,1000,14.7,216.09
1kohm,10.3,18.13,1000,18.13,328.6969
